make,fuel-type,num-of-doors,body-style,drive-wheels,curb-weight,engine-size,highway-mpg,price
alfa-romero,gas,two,convertible,rwd,2548,130,27,13495.0
alfa-romero,gas,two,convertible,rwd,2548,130,27,16500.0
alfa-romero,gas,two,hatchback,rwd,2823,152,26,16500.0
audi,gas,four,sedan,fwd,2337,109,30,13950.0
audi,gas,four,sedan,4wd,2824,136,22,17450.0
audi,gas,two,sedan,fwd,2507,136,25,15250.0
audi,gas,four,sedan,fwd,2844,136,25,17710.0
audi,gas,four,wagon,fwd,2954,136,25,18920.0
audi,gas,four,sedan,fwd,3086,131,20,23875.0
bmw,gas,two,sedan,rwd,2395,108,29,16430.0
bmw,gas,four,sedan,rwd,2395,108,29,16925.0
bmw,gas,two,sedan,rwd,2710,164,28,20970.0
bmw,gas,four,sedan,rwd,2765,164,28,21105.0
bmw,gas,four,sedan,rwd,3055,164,25,24565.0
bmw,gas,four,sedan,rwd,3230,209,22,30760.0
bmw,gas,two,sedan,rwd,3380,209,22,41315.0
bmw,gas,four,sedan,rwd,3505,209,20,36880.0
chevrolet,gas,two,hatchback,fwd,1488,61,53,5151.0
chevrolet,gas,two,hatchback,fwd,1874,90,43,6295.0
chevrolet,gas,four,sedan,fwd,1909,90,43,6575.0
dodge,gas,two,hatchback,fwd,1876,90,41,5572.0
dodge,gas,two,hatchback,fwd,1876,90,38,6377.0
dodge,gas,two,hatchback,fwd,2128,98,30,7957.0
dodge,gas,four,hatchback,fwd,1967,90,38,6229.0
dodge,gas,four,sedan,fwd,1989,90,38,6692.0
dodge,gas,four,sedan,fwd,1989,90,38,7609.0
dodge,gas,four,sedan,fwd,2191,98,30,8558.0
dodge,gas,four,wagon,fwd,2535,122,30,8921.0
dodge,gas,two,hatchback,fwd,2811,156,24,12964.0
honda,gas,two,hatchback,fwd,1713,92,54,6479.0
honda,gas,two,hatchback,fwd,1819,92,38,6855.0
honda,gas,two,hatchback,fwd,1837,79,42,5399.0
honda,gas,two,hatchback,fwd,1940,92,34,6529.0
honda,gas,two,hatchback,fwd,1956,92,34,7129.0
honda,gas,four,sedan,fwd,2010,92,34,7295.0
honda,gas,four,wagon,fwd,2024,92,34,7295.0
honda,gas,two,hatchback,fwd,2236,110,33,7895.0
honda,gas,two,hatchback,fwd,2289,110,33,9095.0
honda,gas,four,sedan,fwd,2304,110,33,8845.0
honda,gas,four,sedan,fwd,2372,110,33,10295.0
honda,gas,four,sedan,fwd,2465,110,28,12945.0
honda,gas,two,sedan,fwd,2293,110,31,10345.0
isuzu,gas,four,sedan,rwd,2337,111,29,6785.0
isuzu,gas,two,hatchback,rwd,2734,119,29,11048.0
jaguar,gas,four,sedan,rwd,4066,258,19,32250.0
jaguar,gas,four,sedan,rwd,4066,258,19,35550.0
jaguar,gas,two,sedan,rwd,3950,326,17,36000.0
mazda,gas,two,hatchback,fwd,1890,91,31,5195.0
mazda,gas,two,hatchback,fwd,1900,91,38,6095.0
mazda,gas,two,hatchback,fwd,1905,91,38,6795.0
mazda,gas,four,sedan,fwd,1945,91,38,6695.0
mazda,gas,four,sedan,fwd,1950,91,38,7395.0
mazda,gas,two,hatchback,rwd,2380,70,23,10945.0
mazda,gas,two,hatchback,rwd,2380,70,23,11845.0
mazda,gas,two,hatchback,rwd,2385,70,23,13645.0
mazda,gas,two,hatchback,rwd,2500,80,23,15645.0
mazda,gas,two,hatchback,fwd,2385,122,32,8845.0
mazda,gas,four,sedan,fwd,2410,122,32,8495.0
mazda,gas,two,hatchback,fwd,2385,122,32,10595.0
mazda,gas,four,sedan,fwd,2410,122,32,10245.0
mazda,diesel,four,sedan,fwd,2443,122,42,10795.0
mazda,gas,four,hatchback,fwd,2425,122,32,11245.0
mazda,gas,four,sedan,rwd,2670,140,27,18280.0
mazda,diesel,four,sedan,rwd,2700,134,39,18344.0
mercedes-benz,diesel,four,sedan,rwd,3515,183,25,25552.0
mercedes-benz,diesel,four,wagon,rwd,3750,183,25,28248.0
mercedes-benz,diesel,two,hardtop,rwd,3495,183,25,28176.0
mercedes-benz,diesel,four,sedan,rwd,3770,183,25,31600.0
mercedes-benz,gas,four,sedan,rwd,3740,234,18,34184.0
mercedes-benz,gas,two,convertible,rwd,3685,234,18,35056.0
mercedes-benz,gas,four,sedan,rwd,3900,308,16,40960.0
mercedes-benz,gas,two,hardtop,rwd,3715,304,16,45400.0
mercury,gas,two,hatchback,rwd,2910,140,24,16503.0
mitsubishi,gas,two,hatchback,fwd,1918,92,41,5389.0
mitsubishi,gas,two,hatchback,fwd,1944,92,38,6189.0
mitsubishi,gas,two,hatchback,fwd,2004,92,38,6669.0
mitsubishi,gas,two,hatchback,fwd,2145,98,30,7689.0
mitsubishi,gas,two,hatchback,fwd,2370,110,30,9959.0
mitsubishi,gas,two,hatchback,fwd,2328,122,32,8499.0
mitsubishi,gas,two,hatchback,fwd,2833,156,24,12629.0
mitsubishi,gas,two,hatchback,fwd,2921,156,24,14869.0
mitsubishi,gas,two,hatchback,fwd,2926,156,24,14489.0
mitsubishi,gas,four,sedan,fwd,2365,122,32,6989.0
mitsubishi,gas,four,sedan,fwd,2405,122,32,8189.0
mitsubishi,gas,four,sedan,fwd,2403,110,30,9279.0
mitsubishi,gas,four,sedan,fwd,2403,110,30,9279.0
nissan,gas,two,sedan,fwd,1889,97,37,5499.0
nissan,diesel,two,sedan,fwd,2017,103,50,7099.0
nissan,gas,two,sedan,fwd,1918,97,37,6649.0
nissan,gas,four,sedan,fwd,1938,97,37,6849.0
nissan,gas,four,wagon,fwd,2024,97,37,7349.0
nissan,gas,two,sedan,fwd,1951,97,37,7299.0
nissan,gas,two,hatchback,fwd,2028,97,37,7799.0
nissan,gas,four,sedan,fwd,1971,97,37,7499.0
nissan,gas,four,wagon,fwd,2037,97,37,7999.0
nissan,gas,two,hardtop,fwd,2008,97,37,8249.0
nissan,gas,four,hatchback,fwd,2324,120,34,8949.0
nissan,gas,four,sedan,fwd,2302,120,34,9549.0
nissan,gas,four,sedan,fwd,3095,181,22,13499.0
nissan,gas,four,wagon,fwd,3296,181,22,14399.0
nissan,gas,four,sedan,fwd,3060,181,25,13499.0
nissan,gas,two,hatchback,rwd,3071,181,25,17199.0
nissan,gas,two,hatchback,rwd,3139,181,23,19699.0
nissan,gas,two,hatchback,rwd,3139,181,25,18399.0
peugot,gas,four,sedan,rwd,3020,120,24,11900.0
peugot,diesel,four,sedan,rwd,3197,152,33,13200.0
peugot,gas,four,wagon,rwd,3230,120,24,12440.0
peugot,diesel,four,wagon,rwd,3430,152,25,13860.0
peugot,gas,four,sedan,rwd,3075,120,24,15580.0
peugot,diesel,four,sedan,rwd,3252,152,33,16900.0
peugot,gas,four,wagon,rwd,3285,120,24,16695.0
peugot,diesel,four,wagon,rwd,3485,152,25,17075.0
peugot,gas,four,sedan,rwd,3075,120,24,16630.0
peugot,diesel,four,sedan,rwd,3252,152,33,17950.0
peugot,gas,four,sedan,rwd,3130,134,24,18150.0
plymouth,gas,two,hatchback,fwd,1918,90,41,5572.0
plymouth,gas,two,hatchback,fwd,2128,98,30,7957.0
plymouth,gas,four,hatchback,fwd,1967,90,38,6229.0
plymouth,gas,four,sedan,fwd,1989,90,38,6692.0
plymouth,gas,four,sedan,fwd,2191,98,38,7609.0
plymouth,gas,four,wagon,fwd,2535,122,30,8921.0
plymouth,gas,two,hatchback,rwd,2818,156,24,12764.0
porsche,gas,two,hatchback,rwd,2778,151,27,22018.0
porsche,gas,two,hardtop,rwd,2756,194,25,32528.0
porsche,gas,two,hardtop,rwd,2756,194,25,34028.0
porsche,gas,two,convertible,rwd,2800,194,25,37028.0
renault,gas,four,wagon,fwd,2579,132,31,9295.0
renault,gas,two,hatchback,fwd,2460,132,31,9895.0
saab,gas,two,hatchback,fwd,2658,121,28,11850.0
saab,gas,four,sedan,fwd,2695,121,28,12170.0
saab,gas,two,hatchback,fwd,2707,121,28,15040.0
saab,gas,four,sedan,fwd,2758,121,28,15510.0
saab,gas,two,hatchback,fwd,2808,121,26,18150.0
saab,gas,four,sedan,fwd,2847,121,26,18620.0
subaru,gas,two,hatchback,fwd,2050,97,36,5118.0
subaru,gas,two,hatchback,fwd,2120,108,31,7053.0
subaru,gas,two,hatchback,4wd,2240,108,31,7603.0
subaru,gas,four,sedan,fwd,2145,108,37,7126.0
subaru,gas,four,sedan,fwd,2190,108,33,7775.0
subaru,gas,four,sedan,fwd,2340,108,32,9960.0
subaru,gas,four,sedan,4wd,2385,108,25,9233.0
subaru,gas,four,sedan,4wd,2510,108,29,11259.0
subaru,gas,four,wagon,fwd,2290,108,32,7463.0
subaru,gas,four,wagon,fwd,2455,108,31,10198.0
subaru,gas,four,wagon,4wd,2420,108,29,8013.0
subaru,gas,four,wagon,4wd,2650,108,23,11694.0
toyota,gas,two,hatchback,fwd,1985,92,39,5348.0
toyota,gas,two,hatchback,fwd,2040,92,38,6338.0
toyota,gas,four,hatchback,fwd,2015,92,38,6488.0
toyota,gas,four,wagon,fwd,2280,92,37,6918.0
toyota,gas,four,wagon,4wd,2290,92,32,7898.0
toyota,gas,four,wagon,4wd,3110,92,32,8778.0
